"y","x","t"
0.6929479,68,0
0.1462311,90,0
0.4406171,30,0
-0.484596,-23,0
-0.2953478,-19,0
0.5247274,39,0
0.2934241,36,0
-0.1691824,21,0
-1.472892,-27,1
1.576106,76,0
-0.043017,42,0
0.0200657,2,0
0.9242512,36,0
-1.325699,2,0
1.071444,57,0
0.6088377,45,0
-1.325699,-37,0
-0.3584305,-11,0
0.4406171,15,0
0.6929479,39,0
0.7980857,49,0
-0.4215132,-15,0
-0.043017,15,0
1.071444,76,0
0.4406171,36,0
0.6929479,33,0
-2.313994,-84,0
-0.5687062,-4,0
-1.199533,-43,0
-1.094395,-11,0
-2.103719,-37,0
0.6088377,57,0
0.5247274,33,0
-0.8841197,-59,1
0.5247274,-59,0
1.071444,33,0
0.6929479,62,0
0.2303414,21,0
0.0200657,45,0
-0.1060997,-50,0
1.071444,42,1
-2.103719,-8,1
-1.641112,-84,1
-0.2322651,-1,1
-0.1691824,45,0
-0.2322651,-1,1
-0.7158992,-8,0
-0.043017,27,0
-0.2953478,9,0
-0.3584305,-8,1
1.576106,57,0
0.2934241,18,0
-3.9962,-70,1
0.1462311,45,0
-1.199533,9,0
0.9242512,27,0
-0.1691824,33,0
0.2303414,42,0
1.576106,62,0
-0.7158992,-4,1
0.7980857,57,0
-1.094395,-8,0
-0.2322651,-1,0
0.3565068,45,0
-0.484596,-23,0
-1.010285,-37,1
0.5247274,39,0
-0.484596,27,0
1.576106,49,0
-0.1060997,6,0
-0.484596,2,1
-0.4215132,9,0
-0.5687062,-70,0
0.6929479,36,0
0.6088377,45,0
3.216256,36,0
-0.2953478,15,0
0.5247274,45,0
-1.641112,-23,0
0.1462311,-4,1
0.6929479,49,0
-3.9962,-1,1
-0.8841197,-11,0
-0.4215132,-105,0
0.9242512,68,0
-0.1060997,-1,0
1.071444,45,0
-0.484596,-43,1
0.9242512,21,0
2.14385,62,0
1.071444,57,0
0.7980857,52,0
-0.4215132,21,0
0.2934241,27,0
0.5247274,36,0
0.6929479,36,0
-1.199533,-19,1
-0.9261749,-50,1
-2.103719,-27,0
0.3565068,42,0
-0.484596,-1,0
0.0200657,-8,1
-0.6317889,-59,0
-0.4215132,-15,0
-1.851388,-27,0
-1.094395,-8,0
0.6088377,42,0
2.14385,33,0
0.3565068,6,0
-2.103719,-84,0
0.0831484,15,0
2.14385,57,0
-0.6317889,2,0
0.9242512,27,0
0.6929479,62,0
-2.755574,-27,0
-0.4215132,33,0
0.9242512,62,0
-0.5687062,-23,1
1.576106,76,0
0.0200657,21,0
-0.8841197,-199,0
-3.9962,-152,0
1.071444,90,0
-0.043017,9,0
-0.6317889,-19,1
-0.7158992,-8,1
-0.2953478,18,0
0.4406171,45,0
-0.484596,15,0
0.7980857,62,0
1.071444,76,0
1.576106,57,0
0.3565068,33,0
0.9242512,24,0
-0.8841197,-4,1
-0.9892576,-15,0
-3.9962,-70,1
-0.2953478,2,1
-0.2322651,9,0
-0.2953478,-1,1
-0.4215132,27,0
-0.2322651,-8,0
0.1462311,27,0
0.2303414,9,0
0.0200657,-4,1
-0.2322651,-23,1
-0.2953478,2,0
-0.9892576,-27,1
0.9242512,36,0
0.9242512,52,0
0.9242512,33,0
-1.325699,-1,0
0.7980857,33,0
-0.484596,-1,1
-0.043017,24,0
-0.3584305,30,0
-0.7158992,9,0
-0.3584305,-8,0
-0.1060997,-27,1
0.6088377,21,0
-0.1691824,21,0
0.7980857,68,0
-0.5897338,-1,0
-0.9892576,18,0
-0.3584305,-19,1
-0.3584305,6,0
0.6088377,52,0
0.0831484,21,0
-0.484596,2,0
-0.2322651,-70,0
-1.199533,-11,1
0.9242512,76,0
-0.3584305,36,0
-1.641112,-37,0
0.4406171,15,0
-1.325699,-70,1
0.2934241,57,0
-0.4215132,9,0
0.0200657,18,0
0.9242512,45,0
-0.1691824,30,0
0.3565068,62,0
0.9242512,33,0
0.5247274,49,0
-0.043017,36,0
-0.4215132,-27,1
-0.043017,30,0
-0.2953478,30,0
1.28172,30,0
-1.851388,-152,0
-0.9892576,21,0
0.2303414,9,0
2.14385,57,0
-0.484596,24,0
0.6088377,52,0
-0.1060997,9,0
0.1462311,39,1
-2.145774,-50,0
-0.2322651,-4,1
-1.010285,-32,1
0.6088377,30,0
0.2303414,18,0
-3.9962,-37,0
-0.1691824,21,0
-0.8000095,-32,1
0.2303414,18,0
-0.7158992,-8,0
0.9242512,36,0
0.4406171,45,0
-0.2322651,18,0
0.0200657,-8,1
0.2303414,12,0
-0.7158992,2,0
0.9242512,68,0
-0.2322651,27,0
0.1462311,12,0
0.9242512,45,1
1.576106,57,0
0.2303414,30,0
-0.2953478,-19,1
1.28172,52,0
0.7980857,33,1
0.3565068,18,1
0.0831484,27,0
0.3565068,21,0
0.4406171,36,0
-0.9892576,9,0
1.28172,68,0
-0.4215132,9,0
0.0200657,6,0
-1.010285,-32,1
0.6929479,42,0
0.3565068,15,1
1.071444,62,0
0.1462311,-4,1
-0.043017,15,0
-0.8841197,-50,1
-1.325699,-59,0
-0.1691824,-1,1
1.576106,68,0
-0.1691824,12,0
-0.4215132,18,1
2.14385,90,0
0.1462311,36,0
0.6929479,76,0
-0.043017,12,0
0.6929479,62,0
0.6929479,33,0
-0.2322651,-32,0
0.3565068,24,0
-0.7158992,-50,0
0.3565068,18,0
0.3565068,15,0
-2.503242,-37,1
0.6929479,57,0
0.2303414,9,0
1.576106,76,0
-1.094395,-70,0
-0.8000095,-37,1
0.1462311,52,1
-2.461187,-84,0
-0.6317889,15,0
-1.094395,-37,1
1.28172,68,0
-0.1691824,-50,1
0.3565068,6,1
-0.5687062,-4,0
-1.851388,-27,1
1.28172,68,0
-0.484596,-1,0
0.6929479,21,0
-0.1060997,-4,0
-0.9892576,24,0
0.2934241,18,0
0.6088377,42,0
-1.851388,-70,1
0.6088377,49,0
0.5247274,18,0
-0.043017,2,0
-0.1060997,-11,0
0.5247274,33,0
-3.9962,-37,0
0.0831484,12,0
0.2303414,2,0
-0.043017,15,0
0.4406171,21,0
-0.1060997,9,0
0.2934241,-1,1
0.1462311,15,0
0.3565068,24,0
-0.6317889,-27,1
0.2303414,39,0
0.0831484,33,0
0.0200657,9,0
0.6088377,33,0
-0.2953478,12,1
-0.6317889,-11,0
-0.9892576,-11,0
-0.1060997,15,0
0.2934241,-23,1
-0.8000095,9,0
-0.9892576,-32,0
-0.2322651,15,0
0.4406171,57,0
0.7980857,68,0
-0.3584305,12,0
0.0831484,-8,1
-0.8000095,6,0
0.6929479,52,0
-0.1691824,2,0
0.2303414,33,0
-0.9892576,9,0
-0.9892576,-19,0
-3.070987,-70,0
0.9242512,52,0
0.9242512,45,0
-0.2953478,6,0
-0.1691824,36,1
0.5247274,39,0
-0.7158992,-4,0
0.2934241,39,0
-0.337403,-1,1
1.576106,168,0
-0.043017,24,0
-0.6317889,-1,0
0.7980857,18,0
-0.1691824,-1,0
-1.199533,-152,0
1.28172,42,0
1.071444,42,0
-0.9892576,-199,0
-0.043017,24,1
-0.484596,9,0
0.6929479,39,0
0.5247274,21,0
0.9242512,39,0
-0.484596,-8,0
0.9242512,68,0
0.6929479,52,0
1.071444,18,0
0.1462311,27,0
-1.199533,9,0
1.071444,52,0
0.4406171,52,0
0.1462311,27,0
-0.9892576,-23,1
0.1462311,21,0
0.2934241,27,0
-0.7158992,-15,1
2.14385,45,0
-0.043017,21,0
0.5247274,57,0
0.0831484,42,0
0.6929479,36,0
0.4406171,9,0
1.576106,57,0
-0.2953478,15,1
-0.1691824,-11,1
0.1462311,39,0
-0.2322651,-4,1
1.28172,49,0
-0.2322651,2,0
-1.094395,2,0
0.5247274,39,0
1.28172,76,0
-0.1060997,-8,0
-0.1060997,-23,0
0.7980857,62,0
-0.3584305,-4,0
0.2934241,49,0
1.071444,42,1
-0.9892576,15,1
0.7980857,39,1
0.6088377,21,0
1.28172,62,0
0.4406171,30,0
-0.484596,6,1
2.14385,68,0
-0.9892576,-37,0
0.1462311,39,0
1.071444,45,0
-0.1691824,-4,1
0.2934241,15,0
-1.641112,-50,1
0.2934241,24,1
-0.2322651,18,0
-1.241588,-37,1
-0.3584305,21,0
-0.2953478,-32,0
-0.8841197,12,0
0.6929479,36,0
-1.641112,-37,0
-1.851388,-70,1
0.9242512,76,0
1.071444,52,0
0.7980857,49,0
1.576106,68,1
-0.7158992,15,0
0.0831484,-8,1
0.5247274,52,0
-0.484596,12,0
-1.641112,-152,0
0.0831484,27,0
-1.998581,-105,0
-1.472892,-105,1
0.9242512,49,0
-0.5687062,-4,0
0.1462311,39,0
-0.484596,15,0
-3.9962,-50,0
0.5247274,33,0
-0.1691824,6,0
0.0831484,12,0
-0.1691824,9,0
-0.3584305,6,0
-0.1060997,-11,0
-0.3584305,-8,0
0.4406171,39,0
0.6929479,45,0
-0.2322651,-11,0
0.6929479,30,0
-0.8841197,-23,0
0.7980857,24,0
-0.9892576,-19,0
-3.9962,-152,1
-0.1691824,6,1
0.0200657,-23,1
0.1462311,9,0
1.576106,62,0
0.7980857,52,0
1.071444,76,0
-0.2953478,-11,1
-0.5687062,12,0
0.5247274,9,0
-0.2322651,24,0
0.6088377,57,0
-1.641112,-59,0
-0.5687062,12,0
-1.641112,-43,0
0.9242512,68,0
-1.472892,-4,1
-0.6528165,-59,1
1.28172,68,0
-0.6317889,-11,1
0.2303414,9,0
0.5247274,42,0
0.2934241,36,0
-0.4215132,-11,1
0.7980857,33,0
0.2934241,68,0
0.2303414,-1,1
0.0831484,21,0
0.6088377,42,0
-0.1691824,21,0
1.576106,62,0
0.1462311,18,0
0.6929479,68,0
-1.325699,-37,1
-0.8841197,-37,1
-0.2953478,-11,0
-1.851388,-32,0
-2.103719,-15,0
-0.4215132,-4,0
-0.1060997,18,0
-0.7158992,9,0
0.3565068,36,0
0.5247274,24,0
-0.2953478,6,0
-0.2322651,6,0
0.9242512,42,0
-0.8841197,-19,1
-0.3584305,33,0
0.7980857,33,0
-1.325699,-32,1
-0.6317889,2,0
-0.9892576,-8,0
1.071444,68,0
0.2934241,39,0
1.28172,30,0
0.6929479,52,0
0.4406171,27,0
-0.4215132,-15,1
0.2934241,24,0
-0.6317889,-15,0
3.216256,68,0
0.2934241,24,1
1.071444,49,0
0.3565068,24,0
-0.484596,-37,0
-0.5687062,-8,0
-0.2953478,-11,1
-1.199533,-15,0
-1.998581,-19,1
1.28172,33,1
0.9242512,68,0
0.6088377,42,0
0.0831484,49,0
-1.094395,-15,0
-0.2953478,-1,0
0.6929479,42,0
0.2934241,36,0
1.28172,45,0
0.2303414,9,0
0.1462311,9,0
-1.325699,-23,1
0.2303414,21,0
-1.472892,-19,0
-3.9962,-32,0
0.1462311,33,0
0.6088377,57,0
0.7980857,90,0
0.6088377,30,0
0.6088377,-43,1
-1.199533,-199,0
-0.2322651,9,1
0.7980857,42,0
-0.6317889,18,0
1.28172,15,0
-1.325699,15,0
-0.6317889,-27,0
-0.9892576,6,0
-0.4215132,30,0
-0.6317889,2,0
-0.1060997,18,0
0.9242512,57,0
-0.8000095,12,0
0.9242512,18,1
1.071444,62,0
-1.199533,-32,0
0.5247274,49,0
-1.620085,-50,1
0.0831484,2,0
1.576106,68,0
-0.3584305,-4,1
1.28172,168,0
-2.103719,-27,0
0.9242512,62,0
0.0200657,2,0
-0.2953478,-11,0
0.4406171,52,0
-0.2953478,6,0
0.0200657,24,0
0.6929479,68,0
-0.7158992,9,0
0.2934241,36,0
0.0831484,21,0
0.9242512,57,0
-0.9892576,-23,1
1.071444,68,0
-0.4215132,2,0
-0.1691824,30,0
-0.484596,6,0
-1.094395,-152,1
-0.1691824,15,0
0.3565068,33,0
0.4406171,49,0
0.0831484,30,0
-0.8841197,21,0
0.0831484,9,0
1.28172,76,0
-1.199533,-32,1
2.14385,39,0
-0.6317889,-19,1
0.3565068,27,0
1.28172,76,0
0.7980857,33,0
-0.043017,39,0
0.6088377,30,0
0.1462311,9,0
-1.325699,-15,1
0.9242512,76,0
2.14385,52,0
0.3565068,2,0
0.9242512,68,0
-0.043017,49,0
0.4406171,36,0
-0.19021,-1,1
-0.4215132,15,0
0.7980857,36,0
0.6929479,49,0
0.2303414,12,0
-0.3584305,2,0
0.2303414,18,0
-0.484596,-23,1
-0.2953478,-11,1
-0.8000095,-23,1
-0.7158992,-8,1
-0.8841197,-4,1
1.576106,62,0
-0.2953478,15,0
0.0200657,36,0
-1.514947,-199,0
-0.8000095,21,0
0.6929479,36,0
1.071444,36,0
-2.103719,-32,1
-0.8000095,12,0
-0.043017,15,0
-0.2322651,33,0
-0.6317889,-105,0
1.071444,68,0
0.7980857,21,0
-0.1060997,39,0
-0.3584305,-1,1
-1.094395,-59,1
-1.851388,-27,1
-3.070987,-32,0
0.3565068,12,0
0.6088377,49,0
0.2303414,33,0
0.3565068,-1,0
0.6088377,39,0
-0.1060997,-8,1
-0.484596,15,0
0.0831484,12,0
-0.4215132,2,0
-0.2953478,2,0
1.576106,52,0
0.6929479,45,0
0.6088377,27,0
0.6929479,12,0
0.7980857,33,0
-1.199533,-23,1
0.1462311,18,1
0.5247274,39,0
-0.043017,36,0
-0.043017,2,0
-0.043017,-11,1
0.2934241,6,0
-0.3584305,-1,0
1.576106,49,0
0.4406171,42,0
-0.3584305,24,0
-0.4215132,12,0
0.0831484,39,0
-0.6317889,-37,0
-1.641112,-152,0
0.6088377,24,0
-0.5687062,24,0
-0.3584305,21,0
0.6929479,9,0
-0.043017,6,0
-0.6317889,-4,0
1.071444,27,0
0.1462311,15,1
-1.641112,-59,0
0.6088377,9,0
0.7980857,57,0
-0.484596,-8,1
0.9242512,57,0
0.6088377,45,0
-0.4215132,6,0
0.9242512,68,0
1.576106,76,0
-0.5687062,-23,1
0.3565068,52,0
0.6088377,62,0
0.0831484,21,0
-0.043017,-19,0
1.576106,42,0
0.6929479,57,0
0.2934241,18,0
-0.2322651,30,1
-0.9892576,2,0
0.5247274,15,0
0.2934241,12,0
-0.8000095,-32,1
0.5247274,15,0
0.5247274,42,0
0.7980857,49,1
-0.4215132,15,0
-0.043017,24,1
-0.1060997,18,0
-0.1691824,30,0
0.6929479,30,0
0.3565068,33,0
0.5247274,45,0
0.9242512,42,0
0.0200657,-1,1
-0.3584305,2,0
0.3565068,30,0
-0.5266511,-19,1
0.0200657,30,0
0.0831484,27,0
0.6929479,24,0
0.4406171,52,0
1.071444,57,0
1.071444,52,0
0.6088377,57,0
0.0831484,-1,1
-0.8000095,-11,1
0.1462311,15,1
-0.4215132,-1,1
0.3565068,49,0
-0.6317889,2,0
1.071444,45,0
-0.6317889,-19,1
-1.094395,-43,0
-0.043017,39,0
-0.043017,-15,1
-0.484596,-27,1
-3.9962,-152,0
0.1462311,12,0
0.1462311,21,0
-1.472892,-19,0
-0.6317889,-4,1
-1.199533,-23,1
-0.8000095,2,0
-0.8841197,-23,0
0.5247274,30,0
0.5247274,24,0
0.5247274,42,0
-0.2322651,2,1
0.2303414,36,0
3.216256,168,0
-0.043017,36,0
0.1462311,18,0
0.5247274,33,0
0.1462311,45,0
-0.6317889,18,1
-1.325699,-50,1
-0.1060997,-15,0
1.28172,27,0
-0.8000095,-1,1
0.0831484,27,0
-0.6317889,12,0
0.0831484,15,1
-0.8841197,27,0
1.071444,52,0
1.071444,62,0
-0.4215132,15,0
-0.1060997,15,1
0.2934241,18,0
0.2934241,33,0
1.071444,-11,0
-0.1060997,12,0
0.6929479,36,0
-0.1691824,15,0
1.576106,52,0
0.4406171,62,0
0.3565068,36,0
-2.461187,-199,0
1.576106,68,0
-0.6317889,-27,0
-2.461187,-37,0
-0.3584305,-8,1
-0.1691824,-1,1
0.0200657,39,0
0.4406171,27,0
0.9242512,49,0
0.6088377,30,0
-0.1060997,18,0
0.4406171,39,0
2.14385,76,0
2.14385,68,0
0.4406171,30,0
-1.199533,-4,0
0.5247274,42,0
0.0831484,24,0
0.2303414,49,0
1.576106,57,0
1.28172,27,0
-0.8841197,-32,1
0.0200657,52,0
-0.3584305,6,0
-0.2953478,2,0
0.1462311,-4,1
-1.010285,-27,1
-0.1060997,-11,1
0.6088377,52,0
-1.641112,2,0
-1.430837,-27,1
-0.1691824,-1,0
-0.3584305,12,0
-1.641112,-8,1
0.6929479,12,0
-2.103719,-37,0
0.2303414,18,0
0.0831484,33,0
-0.043017,15,0
0.6929479,52,0
0.0831484,18,0
0.1462311,18,0
0.2303414,30,0
-0.484596,-32,0
1.071444,30,0
0.4406171,62,0
-0.2953478,21,0
-1.094395,-37,1
0.0831484,9,0
0.9242512,49,0
-1.325699,-43,0
-0.3584305,27,0
-0.484596,18,0
-1.094395,-199,0
-1.241588,-43,1
0.4406171,18,0
