"y","x","t"
0.7802883,45,0
1.1117,68,0
0.6422,48,0
0.9183766,30,0
-0.7110655,-23,0
0.0346114,-19,0
-0.0482416,39,0
-0.1034769,36,0
0.1174644,21,0
-1.042477,-27,1
1.332642,74,0
-1.208183,42,0
-0.3520359,2,0
1.332642,36,0
0.7802883,2,0
0.310788,51,0
1.1117,45,0
-0.5729772,-37,0
-0.4072712,-11,0
0.310788,15,0
1.664054,39,0
1.1117,39,0
-0.8767715,-15,0
-0.6558302,15,0
1.1117,69,0
0.227935,36,0
0.6422,33,0
-0.2968006,-84,0
0.310788,-4,0
-1.732919,-55,0
-2.036713,-11,0
-0.9596245,-37,0
-0.1034769,57,0
0.6422,24,0
-0.1863299,-59,1
-0.7110655,-59,0
1.1117,33,0
0.7802883,62,0
-0.3520359,3,0
0.310788,36,0
-0.7110655,-50,0
1.332642,42,1
-0.9596245,-8,1
-2.036713,-143,1
-0.4901242,-1,1
0.227935,45,0
0.6422,-1,1
-0.5729772,-8,0
1.664054,27,0
0.4212587,9,0
-0.2691829,-8,1
4.011555,57,0
-0.4072712,18,0
-1.208183,-70,1
-0.5729772,39,0
-0.7110655,9,0
-0.0482416,27,0
-0.1863299,21,0
0.5317293,42,0
0.6422,62,0
-0.9596245,-4,1
0.5317293,48,0
-0.8767715,-8,0
1.1117,-1,0
1.1117,45,0
-0.6558302,-23,0
-1.12533,-37,1
-0.1863299,33,0
-0.3520359,27,0
-0.5729772,49,0
0.227935,6,0
-0.4072712,-7,1
-0.4072712,9,0
-1.401507,-70,0
1.664054,36,0
-0.1863299,42,0
0.4212587,33,0
-0.6558302,15,0
1.1117,45,0
-0.4901242,-23,0
-0.3520359,-4,1
0.227935,49,0
-0.7939185,-1,1
-0.7110655,-11,0
-0.4901242,-105,0
2.244025,68,0
-0.1863299,-1,0
0.5317293,42,0
-1.208183,-43,1
0.7802883,21,0
4.011555,62,0
0.9183766,57,0
0.0346114,45,0
-0.7939185,3,0
0.227935,27,0
0.9183766,36,0
0.9183766,36,0
0.227935,-19,1
-1.208183,-143,1
-0.4901242,-27,0
0.227935,33,0
-0.1034769,-1,0
-0.4901242,-8,1
-1.871007,-59,0
-0.1863299,-15,0
-2.230037,-55,0
-0.5729772,-8,0
0.310788,36,0
-0.2691829,21,0
-0.2691829,6,0
-1.291036,-84,0
-0.0482416,15,0
1.332642,57,0
-0.5729772,2,0
-0.4072712,27,0
1.1117,62,0
-2.091949,-27,0
-0.5729772,21,0
1.664054,62,0
-0.7110655,-23,1
1.332642,76,0
-0.0482416,21,0
-1.12533,-199,0
-1.732919,-152,0
-0.1034769,21,0
0.7802883,9,0
-0.7939185,-19,1
-0.9596245,-8,1
0.5317293,18,0
1.1117,45,0
-0.5729772,15,0
0.6422,45,0
0.5317293,57,0
0.310788,39,0
-0.3520359,33,0
-0.7939185,18,0
-0.8767715,-7,1
-0.7110655,-15,0
-0.7110655,-70,1
0.4212587,2,1
0.7802883,9,0
-0.4072712,-1,1
0.5317293,27,0
-0.7939185,-8,0
-0.1034769,27,0
-0.0482416,9,0
-0.3520359,-4,1
-1.622448,-23,1
-0.1034769,2,0
-0.7939185,-27,1
0.7802883,36,0
0.4212587,52,0
0.7802883,33,0
-0.5729772,-1,0
1.1117,33,0
-1.511978,-19,1
0.4212587,24,0
0.310788,30,0
-1.042477,9,0
-0.1034769,-8,0
0.310788,-27,1
1.664054,21,0
-0.0482416,21,0
0.6422,65,0
0.1174644,-1,0
-0.4072712,18,0
-0.2691829,-19,1
-0.4901242,6,0
1.1117,42,0
-0.1034769,18,0
0.310788,2,0
-1.208183,-70,0
-0.2691829,-11,1
1.664054,76,0
0.4212587,36,0
-1.511978,-37,0
-0.1034769,15,0
-1.401507,-143,1
1.664054,48,0
0.7802883,9,0
0.227935,18,0
1.1117,45,0
-0.0482416,11,0
0.7802883,42,0
0.5317293,33,0
-0.4901242,39,0
-0.2691829,36,0
-1.401507,-27,1
-0.2691829,11,0
-0.7110655,30,0
-0.0482416,30,0
-1.871007,-152,0
-1.291036,21,0
-0.1863299,9,0
2.244025,57,0
0.0346114,24,0
1.1117,52,0
0.227935,9,0
-0.3520359,39,1
-2.31289,-50,0
-0.3520359,-4,1
-0.7110655,-32,1
0.7802883,30,0
0.310788,18,0
-1.511978,-91,0
0.0346114,21,0
-0.3520359,-32,1
0.227935,18,0
-0.3520359,-8,0
0.1174644,36,0
0.6422,45,0
1.332642,18,0
-0.1863299,-8,1
-0.3520359,12,0
-1.208183,2,0
1.1117,51,0
0.1174644,27,0
-0.4901242,12,0
2.244025,45,1
1.1117,57,0
0.5317293,30,0
-0.2691829,-19,1
0.7802883,52,0
0.227935,33,1
-0.5729772,-2,1
0.0346114,27,0
1.664054,21,0
-0.6558302,15,0
-0.6558302,7,0
2.244025,68,0
-0.0482416,9,0
-0.5729772,6,0
-0.8491538,-32,1
0.310788,42,0
-0.7110655,15,1
0.4212587,11,0
-0.5729772,-4,1
-0.6558302,15,0
-0.5729772,-50,1
-0.3520359,-59,0
-0.1863299,-1,1
0.4212587,68,0
-0.1034769,12,0
-1.042477,-91,1
1.664054,69,0
-0.4901242,15,0
-0.0482416,61,0
-0.1034769,12,0
0.310788,36,0
-0.1034769,33,0
-0.9596245,-32,0
0.227935,24,0
-0.2691829,-50,0
-0.2691829,18,0
0.227935,15,0
-0.5453596,-37,1
0.310788,54,0
0.9183766,9,0
0.9183766,74,0
-0.9596245,-70,0
-1.622448,-91,1
0.9183766,52,1
-2.78239,-84,0
-1.208183,15,0
-1.401507,-143,1
0.5317293,65,0
-1.042477,-50,1
-0.0482416,6,1
-0.2691829,-4,0
-1.871007,-55,1
0.9183766,68,0
-0.5729772,-1,0
0.227935,21,0
-0.7939185,-4,0
-0.8767715,21,0
-0.4072712,18,0
0.227935,42,0
-2.78239,-91,1
0.1174644,36,0
-0.1863299,18,0
0.310788,2,0
-0.6558302,-11,0
1.332642,33,0
-1.291036,-91,0
-0.4901242,12,0
0.0346114,2,0
0.1174644,15,0
0.6422,21,0
-0.1034769,9,0
0.1174644,-1,1
-0.7110655,11,0
0.310788,24,0
-0.5729772,-27,1
0.6422,39,0
-0.0482416,33,0
0.6422,9,0
1.332642,33,0
-0.5729772,-7,1
-1.291036,-39,0
-0.1863299,-11,0
-0.5729772,15,0
0.5317293,-23,1
-0.5729772,9,0
-1.208183,-32,0
-0.0482416,15,0
1.1117,57,0
0.9183766,68,0
-0.2691829,12,0
-1.12533,-8,1
-1.401507,6,0
0.9183766,52,0
0.1174644,2,0
0.4212587,33,0
-0.1034769,9,0
-0.1034769,-19,0
-1.511978,-70,0
1.1117,52,0
0.9183766,45,0
-0.7110655,6,0
0.1174644,36,1
0.310788,39,0
-0.3520359,-4,0
-0.4072712,39,0
-0.9320068,-28,1
1.1117,79,0
-0.0482416,24,0
-0.2691829,-1,0
0.1174644,18,0
-1.291036,-19,0
-0.8767715,-152,0
1.1117,42,0
0.5317293,42,0
-1.622448,-199,0
-0.8767715,24,1
0.1174644,9,0
-0.1863299,39,0
0.5317293,21,0
0.5317293,39,0
-1.042477,-8,0
2.244025,68,0
1.332642,52,0
0.5317293,18,0
0.227935,27,0
0.5317293,9,0
0.227935,30,0
0.5317293,52,0
0.7802883,27,0
0.0346114,-23,1
0.310788,21,0
1.664054,27,0
-0.4072712,-15,1
0.5317293,45,0
0.0346114,21,0
0.7802883,57,0
-0.4901242,18,0
4.011555,36,0
2.244025,9,0
1.664054,57,0
-0.6558302,15,1
0.0346114,-11,1
2.244025,39,0
-1.042477,-4,1
1.332642,49,0
-0.3520359,-13,0
-0.2691829,2,0
1.664054,39,0
1.1117,69,0
-0.4901242,-8,0
-0.1034769,-23,0
0.4212587,62,0
-0.4901242,-4,0
-0.1034769,49,0
0.0346114,39,1
-1.208183,15,1
0.4212587,39,1
0.310788,21,0
1.1117,62,0
0.4212587,30,0
-0.2691829,6,1
0.5317293,68,0
-0.7939185,-37,0
0.4212587,39,0
0.7802883,45,0
0.5317293,-4,1
0.4212587,15,0
-0.8767715,-50,1
-0.6558302,18,1
0.310788,18,0
-0.9320068,-37,1
0.0346114,15,0
-1.208183,-32,0
-1.12533,12,0
0.6422,36,0
-0.1863299,-37,0
-1.622448,-70,1
1.1117,76,0
1.664054,52,0
1.332642,49,0
0.6422,65,1
0.4212587,15,0
0.1174644,-8,1
0.6422,52,0
-1.401507,-39,0
-0.3520359,-152,0
-0.0482416,27,0
-1.12533,-105,0
-2.036713,-105,1
1.1117,49,0
0.0346114,-4,0
-0.3520359,18,0
-0.9596245,-13,0
-1.291036,-50,0
0.5317293,33,0
-0.1034769,3,0
0.7802883,12,0
-0.5729772,9,0
-0.6558302,6,0
-0.1034769,-11,0
-0.9596245,-8,0
0.0346114,30,0
-0.1034769,45,0
-0.1034769,-11,0
0.310788,30,0
-0.8767715,-23,0
0.4212587,24,0
-1.732919,-19,0
-2.230037,-152,1
0.7802883,6,1
-0.1034769,-23,1
-0.7110655,9,0
1.1117,51,0
1.1117,52,0
0.9183766,65,0
-0.7939185,-11,1
-0.1863299,12,0
0.7802883,9,0
-0.5729772,24,0
0.9183766,57,0
-1.291036,-59,0
0.6422,12,0
-0.7110655,-43,0
1.664054,68,0
-1.291036,-4,1
-0.6282125,-59,1
1.1117,68,0
-0.4072712,-11,1
-0.7110655,9,0
0.9183766,42,0
-0.3520359,36,0
-1.12533,-11,1
