"z1","z2","x","y"
3.5,3.6,0.75,-1.105
3.7,2.8,0.0499999999999998,-0.7354
3.1,2.7,-0.0499999999999998,-0.8251
4.6,2,-0.75,0.5388
3,2.8,0.0499999999999998,-1.8994
3.8,2,-0.75,0.026
4.6,3.6,0.85,0.7379
3.9,2.7,-0.0499999999999998,0.3562
4.3,4,1.25,-0.6904
3.2,2,-0.75,-0.5541
3.8,3.8,1.05,-0.3685
3.2,3.4,0.45,-1.3194
4.4,3.7,0.95,-0.0765
3.4,3,0.25,-1.4115
4.5,3.1,0.35,0.4763
3.4,2.9,0.15,-0.5082
2.1,1.6,-1.15,-1.5124
2.1,3,-0.65,-1.0485
4.3,2.4,-0.35,0.026
2.3,2.8,-0.45,-1.892
3.3,1.6,-1.15,-0.5763
2.8,2.7,-0.0499999999999998,-1.1382
4.1,3,0.25,-0.8251
2.5,2.2,-0.55,-1.8994
3.3,3.6,0.55,-1.0038
2.2,2,-0.75,-1.9465
3.9,1.8,-0.95,-0.1266
4.2,2.8,0.0499999999999998,-0.0256
1.9,1.6,-1.15,-3.095
2.6,2,-0.75,-1.0038
3.9,3.4,0.65,-0.5541
2.8,1.6,-1.15,-0.8251
2.8,2.6,-0.15,-1.1804
2.4,2.7,-0.35,-0.5082
2.2,2.6,-0.55,-2.2899
2.5,0.9,-1.85,-1.3194
2.2,2.2,-0.55,-1.403
3,3.2,0.25,-1.6972
4.1,3.2,0.45,-0.8251
3.2,2.8,0.0499999999999998,-1.0485
2,2.7,-0.75,-1.8788
2.6,2,-0.75,-1.3479
3.6,3,0.25,-0.8698
3.7,1.8,-0.95,-0.1761
3.1,1.3,-1.45,-0.9591
3.4,2.4,-0.35,-1.3194
2.2,2.7,-0.55,-1.2284
3.4,3.5,0.65,-1.1832
3.2,3.8,0.45,-1.0933
2.9,2.7,-0.0499999999999998,-0.8698
2.8,1.8,-0.95,-0.4416
3.3,3.4,0.55,-1.3653
5.1,2.6,-0.15,0.1862
1.6,2.2,-1.15,-0.9145
2.6,0.6,-2.15,-2.3945
4.3,3.7,0.95,0.8826
3.5,2.2,-0.55,-0.7354
3.2,2,-0.75,-0.7803
4.6,3.1,0.35,0.1319
3.2,2.8,0.0499999999999998,-0.1266
2.8,2.4,-0.35,-0.8293
2.8,1.8,-0.95,-1.0485
3.5,1.1,-1.65,-0.462
3,2.4,-0.35,-1.4115
2.5,1.8,-0.95,-1.3768
3.7,3,0.25,-0.1761
4.1,2.8,0.0499999999999998,0.2417
3,0.9,-1.85,-1.2367
3.9,3.4,0.65,-1.0038
2.9,2.2,-0.55,-1.221
3.2,1.3,-1.45,-1.403
2.8,3.2,0.0499999999999998,-1.2284
2.8,3,0.0499999999999998,-1.5523
2.7,2,-0.75,-1.0038
2.8,2.4,-0.35,-1.1832
2.9,1.8,-0.95,-1.1382
2.6,2.2,-0.55,-1.5049
2.8,2,-0.75,-1.0662
3.2,1.8,-0.95,-0.6452
2.5,1.8,-0.95,-1.0662
3.3,2.8,0.0499999999999998,-0.3685
3.8,3.1,0.35,0.7379
3.7,1.6,-1.15,-0.4154
3,2.7,-0.0499999999999998,-0.9591
5.1,4.1,1.35,0.9594
3.7,3.6,0.85,-0.462
3,2.7,-0.0499999999999998,-0.7803
3,2.8,0.0499999999999998,-1.2284
3.4,2.8,0.0499999999999998,-0.5082
3.4,3,0.25,-0.6904
2.8,2.7,-0.0499999999999998,-0.9591
3.3,3.1,0.35,-0.3211
2.9,1.6,-1.15,-0.1761
2.2,1.6,-1.15,-0.1416
