"","y","x"
"6480",-18.527334,62.120956
"6482",4.5659485,-9.500411
"6487",-0.56552887,45.504704
"6490",-13.338658,19.849146
"6492",2.794066,16.984404
"6495",-3.0095606,-4.4988422
"6500",-13.067028,0.38950741
"6503",-0.076249242,-12.22397
"6509",10.410651,81.413116
"6516",-35.464989,1.269266
"6518",-25.532078,8.5112724
"6535",-15.278634,2.7753143
"6540",-13.741955,13.592341
"6550",13.301176,-3.5602121
"6558",-10.647711,1.9148529
"6574",3.6662459,21.515617
"6579",3.4007759,29.476828
"6581",-17.617691,-2.802062
"6590",1.5837282,-7.0080905
"6596",-44.694778,-31.506729
"6597",23.817631,9.0129967
"6609",2.280417,7.6378675
"6613",-8.8411121,22.438717
"6617",-60.170006,4.4040413
"6649",-39.031971,6.0795574
"6650",12.166203,-7.3330612
"6652",-10.313356,-9.5183077
"6658",11.412514,-11.733333
"6663",1.124379,37.711761
"6666",51.92955,100
"6667",-32.209118,-3.0728192
"6670",-4.6397777,23.126598
"6673",11.142579,29.998922
"6675",0.082492828,8.6437378
"6677",-26.641476,-24.457146
"6682",-1.4193028,-15.315613
"6686",16.612125,22.668978
"6691",8.9723501,20.638979
"6699",-26.348608,-22.495274
"6707",10.614774,31.075672
"6717",33.297031,-2.6689827
"6719",-12.068227,-10.533035
"6721",12.846348,-5.9161901
"6724",-13.019082,10.902893
"6726",9.7502861,7.9022169
"6728",-24.859043,2.3056507
"6729",6.774929,16.894733
"6730",13.970959,16.728233
"6731",-24.41437,14.444447
"6732",-11.954638,-9.7057819
"6734",32.661949,-2.1379113
"6735",-12.307694,14.644495
"6736",10.494754,42.693348
"6738",-2.6578455,-17.386246
"6741",0.84631443,35.344608
"6742",-1.0296434,6.0997038
"6743",11.889765,-2.1253495
"6744",25.229359,-5.7185502
"6745",-7.1241469,2.1879494
"6746",-2.8890939,32.280724
"6747",-26.209999,-13.112044
"6748",100,10.605672
"6751",1.7416567,-23.482075
"6753",-41.998734,2.1739097
"6754",9.6202698,10.439393
"6759",6.0070662,45.218197
"6760",-10.855627,-8.2293005
"6762",-4.357028,-19.608952
"6764",11.9948,-4.7061863
"6766",7.4380159,100
"6768",-2.9199748,4.2041273
"6771",-3.3551903,18.409645
"6772",-8.26087,3.3326626
"6773",-43.82954,-16.179987
"6775",-9.3717308,44.937889
"6777",-14.95707,-3.9859624
"6781",23.747736,-20.882401
"6788",-16.629299,-7.5600624
"6790",10.408068,-15.083471
"6791",35.662304,-12.865496
"6792",-3.5868258,-7.8662009
"6793",-100,14.055025
"6795",10.921449,-13.834869
"6797",2.250001,10.204082
"6798",-9.9752693,22.11006
"6800",18.857502,-3.7710638
"6801",-19.018633,18.458742
"6803",-29.636898,1.766783
"6804",-6.7731023,41.100323
"6806",-43.433243,-54.829258
"6808",1.1150807,-7.1936755
"6811",49.102211,24.124516
"6812",-13.652822,-11.895911
"6819",15.140086,-5.1246524
"6827",18.082109,46.656647
"6828",4.0942221,1.0549307
"6829",2.8959603,-12.564191
"6833",-23.256128,16.357431
"6840",-9.7225876,-1.9765645
"6844",-5.3715019,8.7366467
"6848",-35.898422,51.690819
"6849",13.156232,-26.55238
"6851",-9.8728418,22.898355
"6854",-2.9341607,-23.92157
"6855",10.820627,29.745043
"6856",5.8494716,-3.6497383
"6857",-8.4675999,-18.195406
"6860",-14.040563,2.9750109
"6863",-18.352322,-39.539341
"6864",6.6774249,31.216011
"6868",8.784771,-9.6605749
"6869",-4.8846884,-24.428467
"6873",5.1830053,-16.639105
"6874",-1.4571577,0.14906824
"6875",-2.6518493,100
"6878",-15.89467,-14.123956
"6882",19.160515,-10.428819
"6883",10.535529,13.878179
"6885",13.972494,-2.3019791
"6888",10.236218,16.241062
"6891",40.171993,37.681164
"6897",-4.2006998,3.7640243
"6900",12.805009,23.941603
"6901",-22.623861,17.781326
"6902",21.348316,100
"6903",20.22377,-24.183008
"6905",0.25316477,100
"6907",-0.072592497,-0.80321133
"6908",7.1199508,-3.5028219
"6909",7.7243209,11.724427
"6910",-30.116961,-7.6553583
"6911",-50.433201,27.278269
"6914",-18.970881,10.212645
"6920",-10.052821,5.582243
"6921",-45.833336,-24.707714
"6922",40.679523,40.89558
"6925",6.2396021,-8.9584236
"6927",3.2428861,7.9393387
"6928",5.4762692,-10.607544
"6929",6.4675989,-1.2927443
"6932",44.39756,100
"6937",13.187197,-16.193401
"6938",-16.075983,-18.805159
"6945",-2.6367307,-2.8141351
"6949",-13.42822,-28.995756
"6951",-0.6298095,-6.4537616
"6952",-44.376801,2.5698304
"6954",-17.294949,21.012157
"6955",-4.2735071,30.260159
"6967",4.8458128,19.993189
"6969",-18.340763,-4.902926
"6971",21.12326,-6.7325773
"6973",-14.550665,-7.8271656
"6974",3.6575437,12.947813
"6975",16.687525,-32.141701
"6979",5.0379572,-17.44186
"6980",-27.435389,6.62885
"6983",-23.655914,-0.29404163
"6985",-4.2918444,13.601518
"6986",4.219717,-6.3579826
"6987",-6.8679361,-4.7436419
"6988",-5.6907625,-11.722824
"6993",-38.65136,-19.044485
"6996",2.8335929,28.049246
"6998",-4.3977051,0.54902136
"7000",-35.31123,15.408415
"7002",-18.268215,0.89899302
"7004",-39.77253,19.604801
"7005",-23.097429,54.367195
"7007",-34.792686,8.4188938
"7011",23.374916,20.818577
"7013",-6.4757824,4.1836829
"7016",-7.6117992,54.08522
"7017",-15.232471,13.023853
"7024",-46.092773,-3.6400795
"7026",8.4811096,21.419727
"7029",11.944092,-4.4307919
"7031",100,53.357006
"7033",-1.5385717,-6.5676122
"7035",3.8307667,20.311283
"7036",-4.4483128,22.439173
"7038",-18.553888,7.4611039
"7040",3.1525254,31.865931
"7043",-5.4668694,17.284546
"7044",2.7191281,15.700522
"7046",30.263159,-1.5004426
"7047",-18.914246,-15.053574
"7052",12.271276,8.9156628
"7056",6.2465878,8.2947521
"7057",37.238705,-0.38218498
"7061",7.5182171,-12.531164
"7062",0.44695437,-4.3409228
"7065",-2.7849407,-31.629395
"7068",-11.796323,24.872408
"7069",14.01869,2.536875
"7071",-3.0292301,-0.33770502
"7072",-8.0770493,7.3222218
"7073",6.3227415,42.475143
"7075",-10.575047,24.34498
"7076",-19.501886,-1.077646
"7077",11.043274,18.581141
"7078",19.440222,-47.902508
"7084",-11.709216,2.0902247
"7088",-5.5939226,-5.6543736
"7091",-28.237543,9.1215725
"7099",-14.295485,-14.544621
"7100",36.932056,-5.3236752
"7101",-2.1297216,2.9208302
"7102",-7.099822,15.951896
"7115",-13.291881,8.081707
"7119",34.834335,-5.6486187
"7126",-19.559374,-4.10496
"7129",17.469206,-13.155803
"7130",-71.824112,100
"7135",-4.8197179,6.0561895
"7138",-17.444668,5.3984551
"7139",-7.3462367,-13.904828
"7141",-11.550525,-11.652422
"7145",-7.5696468,3.128171
"7148",-11.600163,1.6915202
"7151",-21.527178,21.940931
"7154",-42.949257,-27.561172
"7156",2.3255825,-6.2083125
"7157",9.1972589,-8.1327229
"7160",3.245014,-10.534739
"7161",2.9064326,-3.7292421
"7162",-3.2873571,-22.666014
"7163",-29.814869,10.517475
"7166",100,44.011066
"7169",-30.658028,0.12952387
"7171",-29.202757,51.909019
"7172",-6.112051,-22.631498
"7179",-4.1141896,30.217106
"7181",-34.553658,33.517838
"7185",-17.709335,0.81818104
"7186",0.66185296,18.120184
"7191",-3.380403,-25.058731
"7194",-0.29097795,-5.6081591
"7196",-22.118536,9.7736359
"7197",-11.670444,-20.699219
"7198",6.8978815,51.432026
"7199",0.51854849,36.751377
"7202",-15.232325,3.552568
"7204",-2.5461495,-5.4390402
"7206",4.4485807,8.3048935
"7209",-9.5702324,-11.800486
"7211",39.295967,-7.6973348
"7212",-9.417367,-8.9840441
"7216",-3.7119122,-19.880417
"7220",-0.4909277,19.830629
"7222",-7.3261232,7.9916148
"7226",25.036013,-9.3819323
"7227",7.0934267,-0.50125122
"7228",13.915455,26.04771
"7229",-28.971962,10.949567
"7231",-3.8759708,24.904215
"7238",-27.533123,-23.41404
"7240",-14.534005,-14.423076
"7242",21.088959,-1.1382461
"7243",-100,25.665045
"7252",-56.94772,-40.715836
"7258",-6.1305971,11.580881
"7259",-53.584404,-14.299187
"7262",4.279068,-38.260872
"7266",-41.46069,-30.815702
"7270",10.31563,28.601847
"7272",-28.332359,-10.099122
"7278",-0.66759288,-10.421833
"7281",4.0100784,-27.065647
"7284",15.404168,46.618576
"7292",15.384615,4.4568272
"7293",9.0150242,-8.0074463
"7294",13.808799,13.055364
"7297",16.704536,-18.014103
"7300",40.835747,8.6678057
"7305",-9.1520071,-24.542126
"7308",3.6007285,-8.6966429
"7310",-11.739746,-1.4805019
"7313",19.997284,-8.2535353
"7314",-40.043137,8.4518795
"7315",-18.934578,2.3845673
"7328",-21.237499,-12.330331
"7331",-1.3167948,12.456107
"7336",16.758621,100
"7337",-24.864599,61.745369
"7338",-0.90194643,15.051666
"7341",100,56.506443
"7342",7.022357,-3.4050584
"7344",-12.87671,7.4775815
"7345",-10.085779,-12.119114
"7346",5.8355422,5.4514766
"7347",-24.717796,4.0058494
"7351",-44.460003,-13.388887
"7357",3.7292838,15.040833
"7363",-5.7471275,-13.862062
"7364",-0.65906048,-6.2590957
"7365",12.753966,33.541832
"7366",-4.5000019,38.079296
"7367",16.214584,-0.1308918
"7369",-17.606445,-1.008144
"7371",9.5533285,17.311808
"7377",-9.1336098,8.0741644
"7379",-35.229187,28.631121
"7380",4.8975945,-1.9469023
"7381",6.2690229,8.4981441
"7387",-5.9751987,35.089973
"7388",0.83659589,100
"7393",6.6394,-19.79644
"7395",-38.902744,-16.617834
"7404",-2.3584933,17.254833
"7405",1.4289498,-4.0401368
"7407",-24.962238,-6.8181844
"7413",10.872674,-3.7776203
"7414",8.0677986,4.779017
"7416",-8.4022045,25.394047
"7420",0.38859844,-13.045565
"7423",-15.24643,50.532383
"7424",32.922203,72.717957
"7425",-13.297137,-27.352575
"7427",-50.699989,-3.3448844
"7432",-18.246347,2.9737234
"7433",18.665277,16.333845
"7438",-18.505569,22.889584
"7441",14.275515,22.297556
"7442",18.832647,-6.5687151
"7443",3.5867572,9.8009558
"7444",-22.498322,47.057117
"7446",-10.960758,8.2879391
"7447",13.910845,-3.3810139
"7448",2.0355792,35.26458
"7449",-11.076805,8.2973213
"7450",15.271208,-35.696621
"7452",-11.309179,7.9794884
"7453",-8.4663153,12.258378
"7454",4.4500408,30.574238
"7458",-7.7757688,26.975716
"7461",-6.3358455,-22.136223
"7462",19.093851,-10.923353
"7464",32.92683,-4.3822975
"7465",-26.905832,5.6248097
"7466",-6.5266314,-7.1718245
"7467",-3.803277,2.3543239
"7469",-29.677418,-14.406359
"7470",-7.8356891,-13.611111
"7471",2.6798992,-4.6466589
"7472",-5.2648277,8.7991714
"7475",-0.5646199,-19.26108
"7478",15.557241,-6.133419
"7479",-17.413874,5.5485816
"7483",-27.768076,-16.581074
"7485",0.60950816,33.474754
"7486",-8.8132858,13.792157
"7489",6.9478898,9.2391281
"7492",-1.7556697,2.1820903
"7493",-2.2739081,33.601795
"7504",-9.5838709,-30.986708
"7507",-8.8406172,8.053318
"7508",-5.1258178,32.486187
"7510",15.983987,19.833794
"7511",5.6066933,17.218742
"7512",-24.189997,22.425953
"7514",-7.90236,18.524731
"7515",-20.113113,-7.6821623
"7516",-4.5625329,1.4529347
"7518",11.720407,-4.2100639
"7523",5.068922,-7.9591365
"7524",-49.244865,-19.320326
"7525",10.422113,34.847355
"7526",28.63806,57.638668
"7527",4.418364,-15.526411
"7532",-4.0485024,0.80195963
"7534",-45.538242,47.555553
"7539",14.599344,-9.4801188
"7540",-44.747654,16.532433
"7550",-6.8699508,3.5132527
"7556",-19.455999,-27.393276
"7559",-2.5940804,-3.3415408
"7562",7.0136905,100
"7564",14.739767,-4.4926286
"7566",100,23.404253
"7568",-28.251303,-25.429708
"7571",27.951563,63.310349
"7576",-4.2866855,-47.502987
"7581",-12.464213,4.0348949
"7586",-32.715839,-46.923595
"7594",-14.809467,40.761234
"7602",-13.624677,-13.488373
"7608",-11.293756,-26.167892
"7611",-49.090912,-4.4003129
"7613",0.8397758,-27.362722
"7617",15.541971,0.41152239
"7623",-8.8041935,17.063904
"7624",31.178871,32.251522
"7627",-0.71889162,0.86301863
"7628",4.0235667,9.9069357
"7629",0.8177489,-1.0205001
"7637",-8.1598969,10.079834
"7641",3.9547265,3.0854881
"7642",35.932655,40.599022
"7658",-4.4711947,-18.295679
"7672",-6.493506,2.2616327
"7675",-50.66151,46.767857
"7681",2.6340098,30.575775
"7686",11.691483,17.094704
"7691",-31.154066,9.8363514
"7697",37.788853,-16.662386
"7700",-6.6197157,3.0614018
"7709",-15.466126,-2.6039779
"7710",-2.7599902,1.7258883
"7714",2.1124511,23.670214
"7725",-3.7969828,-25.665533
"7729",-9.0362844,-10.164833
"7742",-5.4730234,-18.248739
"7745",17.225433,-44.357838
"7755",-1.4157027,-8.176693
"7762",1.3133973,9.5345173
"7772",-28.541761,4.288271
"7779",-0.50492287,47.090939
"7785",50.671143,31.085712
"7788",-29.917395,3.9194136
"7789",4.6018481,-22.228094
"7792",-43.391098,69.50544
"7794",6.0619831,4.9605875
"7795",-1.4305472,-0.63198805
"7799",12.585032,-14.563545
"7801",-0.068470836,10.84547
"7802",2.7144074,44.825474
"7803",90.245209,6.9575014
"7804",-33.210747,-2.1692753
"7808",3.5106063,-65.44603
"7813",-41.790859,-9.8488989
"7817",3.5735548,41.335236
"7822",-15.937244,14.531046
"7824",8.6694689,23.345221
"7825",17.883419,-0.45466721
"7827",-2.437243,-4.2699933
"7840",-12.409389,-30.549627
"7842",-8.3566074,-30.809841
"7843",-7.7354488,20.411619
"7862",-7.4418364,-17.281441
"7864",-39.358021,42.209175
"7865",0.60484111,6.5346003
"7868",-9.7145586,-2.8494806
"7869",15.201381,5.4545431
"7874",-4.7973928,-13.24749
"7880",-19.297972,5.0715981
"7883",-4.4842811,-7.5627747
"7885",-42.378662,24.637079
"7901",-25.801638,30.986361
"7902",-19.663336,-24.898029
"7905",-14.433297,13.827562
"7906",11.965811,-2.9348583
"7913",-6.5849724,-11.001643
"7917",-13.609251,36.29018
"7918",8.0108404,-7.6133699
"7925",19.323168,26.546516
"7928",11.1608,-28.435373
"7930",3.1869917,22.611464
"7931",17.714287,27.086386
"7936",10.626125,-8.4649925
"7937",1.9258976,10.808841
"7940",-11.467648,6.7075253
"7942",-14.020348,0.44345856
"7943",14.702023,38.508476
"7944",-4.2313695,5.5491328
"7946",-10.017997,-8.5984116
"7957",15.705916,6.2583208
"7961",7.3704243,11.683583
"7962",-6.2306881,13.231477
"7963",4.4785113,23.765865
"7965",2.7941198,25.794216
"7966",8.064517,10.816979
"7967",8.866066,59.68684
"7969",17.576828,16.217541
"7971",-3.3506036,22.50345
"7974",-3.4722657,49.99971
"7976",-5.2540035,11.554146
"7981",-13.109872,-12.712336
"7982",30.190006,15.874362
"7984",24.553871,11.96835
"7988",7.3977351,28.080809
"7991",12.439331,18.308544
"7992",-3.5609126,36.907215
"7994",17.374287,6.9195628
"7996",-35.168873,-5.9433937
"7999",26.762877,28.108406
"8002",4.6357989,16.396364
"8004",8.5278721,-3.3838987
"8005",-42.498989,39.00135
"8006",20.61665,19.232321
"8007",4.7721534,-2.5613217
"8008",4.8868775,13.007712
"8013",-7.9486637,-29.547655
"8014",14.421168,-3.1449437
"8015",11.201891,-8.000001
"8016",3.127089,-7.6096683
"8022",-14.430576,48.980232
"8025",-14.026869,9.2626209
"8029",-5.0744085,-8.0738182
"8030",42.814499,20.946276
"8035",47.281898,-20.29562
"8039",-11.179307,-3.3350616
"8040",0.52284896,-10.868242
"8041",-1.9077897,5.2169919
"8042",100,24.863386
"8044",-76.389641,-47.611149
"8045",71.190933,100
"8047",9.7138166,19.687038
"8048",-55.773056,-10.012447
"8050",20.965122,35.629395
"8051",-9.6932049,4.7031283
"8053",3.955698,15.407723
"8055",7.6547236,15.411556
"8056",-4.1360288,13.495934
"8058",16.875002,-2.6294827
"8059",-12.622807,29.307356
"8069",-11.850652,-4.6325326
"8074",49.812733,11.563579
"8075",-47.193439,28.461588
"8078",-5.5290728,12.306679
"8083",7.7917128,5.2800031
"8084",3.7763238,1.6932756
"8085",-30.236351,29.090908
"8088",-3.4965038,11.566949
"8096",-5.4890633,-13.202992
"8099",6.8834186,3.4180017
"8101",3.873384,100
"8102",19.027046,14.126099
"8103",3.0936837,37.145699
"8106",-16.164923,-25.885559
"8110",7.2014036,12.426424
"8111",-38.30109,-33.923306
"8118",1.2658238,14.393619
"8119",12.270964,100
"8121",5.3057137,31.604342
"8122",-17.580341,17.59729
"8123",-6.7151308,5.0715208
"8128",3.9081454,-2.6710749
"8130",7.0484581,10.731709
"8131",-9.3033705,10.992109
"8136",8.1760321,60.632759
"8138",5.596745,3.8233371
